package,42638f7-allocations,42638f7-time,7bb8472-allocations,7bb8472-time,8.0.2-allocations,8.0.2-time,f6f0fd9-allocations,f6f0fd9-time
exceptions-0.8,4.38653584e8,0.879,4.41687512e8,0.9750000000000001,8.65181992e8,1.488,4.55628992e8,1.347
extensible-exceptions-0.1.1,5.387544e7,0.14,5.3875096e7,0.201,1.37516608e8,0.257,5.3870424e7,0.133
fail-4.9.0,2.3291816e7,6.5e-2,2.3291136e7,6.4e-2,2.7149376e7,9.0e-2,2.3291048e7,7.100000000000001e-2
fast-logger-2.4,3.90191552e8,1.028,3.97569984e8,0.9789999999999999,8.43370264e8,1.7189999999999999,3.92234672e8,0.909
foundation-0.0,7.228449328e9,10.576,7.866308288e9,13.326,1.4961606184e10,20.875999999999998,1.0121501736e10,14.357
free-4.12,1.685222216e9,2.894,1.715746944e9,3.038,2.706316664e9,4.502,1.834802568e9,3.5489999999999995
ghc-paths-0.1.0,5.5190872e7,0.139,5.5195384e7,0.131,1.36808936e8,0.28300000000000003,5.5198784e7,0.137
hashable-1.2.6,4.53344752e8,0.948,4.52769776e8,0.886,9.15520848e8,1.679,4.71313528e8,0.911
haskell-src-exts-1.19,6.95488692e9,12.216999999999999,7.092053472e9,11.408000000000001,1.0820981288e10,15.148,7.566983752e9,12.085
hostname-1,1.06404288e8,0.316,1.0555264e8,0.42900000000000005,2.69619256e8,0.657,1.05546208e8,0.358
hourglass-0.2,7.59403096e8,1.41,7.72520152e8,1.355,1.383726984e9,2.666,8.51953288e8,1.453
http-api-data-0.3.7,9.37557352e8,2.036,9.50740136e8,1.8940000000000001,1.715505104e9,3.191,9.9011224e8,2.13
http-client-0.5.7,1.295164904e9,2.564,1.341267888e9,2.622,2.164261032e9,3.4749999999999996,1.35874084e9,2.6959999999999997
http-client-tls-0.3.5,5.66150016e8,1.206,5.65103192e8,1.494,1.268229864e9,2.516,5.63958336e8,1.2839999999999998
http-date-0.0.6,3.1911456e8,0.832,3.22034176e8,0.966,7.118764e8,1.431,3.2376164e8,0.698
http-types-0.9,5.04681056e8,0.8300000000000001,5.17963672e8,0.914,9.57779712e8,1.81,5.2735564e8,1.2530000000000001
